decimalLatitude,decimalLongitude,season
-38.35137,144.71878,Winter: June-August
-37.6096,149.7309,Spring: September-November
-37.586,149.8966,Winter: June-August
-37.5799,149.7472,Spring: September-November
-27.386165,153.566311,Winter: June-August
-25.43202,152.961049,Spring: September-November
-20.125,148.95,Winter: June-August
-25.511676,153.128419,Winter: June-August
-28.165099,153.417736,Spring: September-November
-20.15,149.016667,Winter: June-August
-22.00747,151.2514,Winter: June-August
-23.30995,152.00215,Winter: June-August
-24.963196,153.331923,Spring: September-November
-27.533333,153.333333,Spring: September-November
-20.0866,148.989,Winter: June-August
-20.9212,149.8403,Winter: June-August
-21.9396,152.613,Winter: June-August
-19.154778,146.864606,Winter: June-August
-21.94489,151.24573,Winter: June-August
-20.1361,148.8498,Winter: June-August
-26.523405,153.10939,Spring: September-November
-27.406733,153.542725,Winter: June-August
-20.05,148.966667,Winter: June-August
-21.607688,151.529966,Winter: June-August
-26.981552,153.431303,Winter: June-August
-27.023401,153.459389,Spring: September-November
-27.4234,153.542725,Winter: June-August
-20.301944,148.851389,Winter: June-August
-19.1266,146.8865,Winter: June-August
-27.431667,153.559444,Winter: June-August
-21.727931,151.363694,Winter: June-August
-20.2697,148.7054,Winter: June-August
-27.641667,153.463333,Winter: June-August
-21.96148,151.24716,Winter: June-August
-21.897126,150.932706,Winter: June-August
-27.4234,153.542725,Winter: June-August
-20.28607,148.895667,Spring: September-November
-21.931796,150.818563,Winter: June-August
-26.523405,153.092724,Spring: September-November
-27.003778,153.457503,Winter: June-August
-26.528405,153.091057,Spring: September-November
-21.598482,151.550755,Winter: June-August
-27.013167,153.485333,Winter: June-August
-27.376876,153.314879,Spring: September-November
-20.1382,148.8468,Winter: June-August
-27.822222,153.416389,Autumn: March-May
-26.528405,153.091057,Spring: September-November
-27.494853,153.302083,Winter: June-August
-19.899417,148.969133,Winter: June-August
-27.827222,153.418056,Autumn: March-May
-27.511667,153.378333,Spring: September-November
-19.90405,149.047417,Winter: June-August
-27.027567,153.471889,Winter: June-August
-22.049916,150.699003,Winter: June-August
-20.1783,148.992,Winter: June-August
-19.11,146.8,Spring: September-November
-20.237167,148.726933,Winter: June-August
-26.523405,153.092724,Winter: June-August
-19.922733,148.929167,Winter: June-August
-27.073401,153.455223,Spring: September-November
-14.39485,144.877098,Winter: June-August
-20.2178,148.7565,Winter: June-August
-27.822222,153.416389,Winter: June-August
-20.044333,148.95935,Winter: June-August
-25.268599,153.249325,Winter: June-August
-25.459288,153.149261,Winter: June-August
-19.18,147.01,Spring: September-November
-19.820567,149.065717,Winter: June-August
-20.035933,148.983682,Winter: June-August
-27.440066,153.542725,Winter: June-August
-19.1196,146.86,Winter: June-August
-20.2697,148.7054,Winter: June-August
-27.440066,153.542725,Winter: June-August
-20.171389,148.918889,Winter: June-August
-22.22427,151.27296,Winter: June-August
-25.582144,153.099626,Winter: June-August
-19.147733,146.87345,Winter: June-August
-22.049916,150.699003,Winter: June-August
-27.431667,153.559444,Winter: June-August
-19.111112,146.825765,Spring: September-November
-21.364181,149.315125,Winter: June-August
-27.354047,153.292064,Spring: September-November
-22.53195,151.30139,Winter: June-August
-25.511463,153.12827,Winter: June-August
-26.506738,153.10939,Autumn: March-May
-19.24,146.8,Winter: June-August
-19.106991,146.881625,Winter: June-August
-23.30995,152.00215,Winter: June-August
-28.165,153.601111,Spring: September-November
-25.582133,153.102605,Winter: June-August
-19.897967,149.003833,Winter: June-August
-25.582141,153.102612,Winter: June-August
-20.2755,148.8469,Spring: September-November
-20.246253,148.929377,Spring: September-November
-27.440066,153.542725,Winter: June-August
-24.963204,153.331932,Spring: September-November
-27.38,153.313333,Spring: September-November
-22.193943,150.75072,Winter: June-August
-25.459288,153.149261,Winter: June-August
-21.852977,151.086074,Winter: June-August
-28.081699,153.451065,Winter: June-August
-22.13922,151.26489,Winter: June-August
-27.440066,153.542725,Winter: June-August
-20.2697,148.7054,Winter: June-August
-21.0087,149.919,Spring: September-November
-20.115,148.451111,Winter: June-August
-27.822222,153.416389,Winter: June-August
-27.431667,153.559444,Winter: June-August
-20.45,148.966667,Spring: September-November
